id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,ingested_at,popularity_category
1390300,Over Your Dead Body,2026-03-14 00:00:00 UTC,102.3778,6.696,189,"[28, 35, 53]","A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.",2026-06-14T21:38:55.836513,High
1430077,Hokum,2026-04-29 00:00:00 UTC,123.7924,6.675,226,[27],"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",2026-06-14T21:38:55.836513,High
1523145,Your Heart Will Be Broken,2026-03-26 00:00:00 UTC,227.1186,6.898,88,"[10749, 18]","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",2026-06-14T21:38:55.836513,High
467905,How to Make a Killing,2026-02-16 00:00:00 UTC,15.9253,7.056,435,"[35, 53]","Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",2026-06-14T21:38:55.836513,Low
467914,The Land of Sometimes,2026-03-20 00:00:00 UTC,4.6737,6,1,"[16, 14, 10751, 12]","Twins Alfie and Elise find a magical Wish Watch on Christmas Eve and are swept by the Wish Collector into the musical Land of Sometimes, where they learn that wishes have consequences.",2026-06-14T21:38:55.836513,Low
680493,Return to Silent Hill,2026-01-21 00:00:00 UTC,25.4538,5.398,615,"[9648, 18, 27]","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",2026-06-14T21:38:55.836513,Low
1043789,King of Dope,2026-03-13 00:00:00 UTC,1.794,7,3,"[53, 80]","Dawid is an ordinary boy who builds a legal drug empire and becomes an overnight millionaire. Sudden fame, beautiful women, fast cars, endless partying, confrontations with gangsters, and dealings at the highest levels of power—this is his new world, where the line between legal and illegal is as thin as the line in a mirror. When an ethical cop arrives, everything is at stake. Will Dawid be able to stop him before it's too late? Will love save him from ultimate collapse?",2026-06-14T21:38:55.836513,Low
1083884,Signal One,2026-06-05 00:00:00 UTC,33.0683,6.594,16,"[9648, 878]","A computer scientist is invited by a tech billionaire to join his private facility on a Caribbean island to investigate extraterrestrial matter on Earth. When they make contact beyond our world, chaos erupts as we’re left to wonder: do they come in peace?",2026-06-14T21:38:55.836513,Low
1119090,I Am Frankelda,2025-10-23 00:00:00 UTC,16.1406,8.3,88,"[16, 10751, 14, 27, 12]",A gifted young writer in 19th-century Mexico journeys into her subconscious and comes face to face with characters from her own spooky stories.,2026-06-14T21:38:55.836513,Low
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13 00:00:00 UTC,18.3651,6.873,528,"[878, 28, 35]",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,2026-06-14T21:38:55.836513,Low
1146344,Misdirection,2026-02-10 00:00:00 UTC,3.6325,5.8,41,"[53, 28]","A desperate couple have pulled off a string of high-end break-ins to pay off a mob debt. When they attempt to rob their latest victim, they find themselves caught in a deadly game of cat and mouse. The tables are turned and the hunters become the hunted.",2026-06-14T21:38:55.836513,Low
1198994,Send Help,2026-01-22 00:00:00 UTC,44.0835,7.051,1758,"[27, 53, 35]","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",2026-06-14T21:38:55.836513,Low
1233413,Sinners,2025-04-16 00:00:00 UTC,33.2762,7.499,4631,"[27, 28, 53]","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",2026-06-14T21:38:55.836513,Low
1236153,Mercy,2026-01-19 00:00:00 UTC,18.7005,7.043,1374,"[878, 28, 53]","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",2026-06-14T21:38:55.836513,Low
1242265,Fuze,2026-03-23 00:00:00 UTC,18.8902,6.487,116,"[28, 80, 18, 53]",An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,2026-06-14T21:38:55.836513,Low
1242332,Normal,2026-04-16 00:00:00 UTC,17.2096,6.465,158,"[28, 80, 53]","An unassuming substitute sheriff with a troubled past responds to a bank robbery in a small, sleepy town and unknowingly uncovers something far more explosive.",2026-06-14T21:38:55.836513,Low
1244517,Tow,2026-03-20 00:00:00 UTC,3.2918,6.7,15,[18],"Amanda Ogle is a woman living in her aging Toyota Camry on the streets of Seattle. When her car is stolen and impounded, she’s thrust into a relentless legal battle against an indifferent system. What begins as a fight to reclaim her car evolves into a deeply human story of resilience, dignity, and the power of one woman’s voice in the face of systemic failure.",2026-06-14T21:38:55.836513,Low
